show_id,genre_name
s615,International Movies
s615,Romantic Movies
s616,Crime TV Shows
s616,Kids' TV
s616,TV Comedies
s617,Anime Series
s617,International TV Shows
s618,Documentaries
s618,International Movies
s619,Comedies
s619,Independent Movies
s619,International Movies
s620,TV Comedies
s620,TV Dramas
s620,Teen TV Shows
s621,Documentaries
s622,TV Comedies
s623,Dramas
s623,International Movies
s624,Documentaries
s625,Docuseries
s625,International TV Shows
s625,Reality TV
s626,Action & Adventure
s626,Comedies
s627,Comedies
s628,Action & Adventure
s628,Comedies
s628,Sci-Fi & Fantasy
s629,Dramas
s629,International Movies
s629,Thrillers
s630,International Movies
s630,Sci-Fi & Fantasy
s630,Thrillers
s631,International TV Shows
s631,Romantic TV Shows
s631,TV Dramas
s632,Action & Adventure
s632,Dramas
s633,Classic & Cult TV
s633,Kids' TV
s633,TV Action & Adventure
s634,Dramas
s634,International Movies
s634,Romantic Movies
s635,Action & Adventure
s636,Action & Adventure
s636,Sci-Fi & Fantasy
s637,Documentaries
s637,International Movies
s637,Music & Musicals
s638,Horror Movies
s638,Sci-Fi & Fantasy
s639,Thrillers
s640,Reality TV
s641,Romantic TV Shows
s641,TV Dramas
s641,TV Sci-Fi & Fantasy
s642,International TV Shows
s642,TV Dramas
s643,Dramas
s643,International Movies
s643,Sci-Fi & Fantasy
s644,Comedies
s644,Dramas
s644,Independent Movies
s645,Dramas
s645,International Movies
s646,Documentaries
s646,International Movies
s647,Dramas
s647,International Movies
s648,Dramas
s648,International Movies
s648,Sports Movies
s649,Stand-Up Comedy
s650,Stand-Up Comedy
s651,Stand-Up Comedy
s652,Anime Series
s652,Crime TV Shows
s652,International TV Shows
s653,Dramas
s653,Independent Movies
s653,International Movies
s654,Dramas
s654,International Movies
s655,Action & Adventure
s655,International Movies
s656,Action & Adventure
s656,International Movies
s657,Action & Adventure
s657,Dramas
s657,International Movies
s658,Action & Adventure
s658,Dramas
s658,International Movies
s659,Action & Adventure
s659,Dramas
s659,International Movies
